URL,Tag 1,Tag 2,Tag 3
.../TJX9vB.png,Footwear,Lifestyle,Outdoor
.../zWO49p.png,Demo,Product-Focus,Hands-on
.../6ADXka.png,Activewear,Performance,Gym-Setting
.../wnQy9T.png,Skechers,Daily-Walk,Comfort
.../Pymc1h.png,Apparel,Try-on-Haul,Indoor
.../OMusg0.png,Walking-Shoes,Lifestyle,Action-Shot
.../Gc9lrf.png,Close-up,Textiles,Durability
.../S2t86d.png,Fitness,Stretching,Yoga-Mat
.../7JEGAO.png,Morning-Routine,Getting-Ready,Casual
.../c1Go96.png,Slip-on,Ease-of-use,Direct-to-Camera
.../laEiXD.png,Urban-Walking,City-Background,Modern
.../xjYCfB.png,Point-of-View,Walking,POV
.../iCtCzo.png,Review,Problem-Solution,Unboxing
.../zoEiMR.png,Athleisure,Streetwear,Model-Pose
.../j9hGn4.png,Cushioning,Comfort-Tech,Graphic-Overlay
.../t9DrLz.png,Park-Setting,Nature,Fresh-Air
.../lYkGjh.png,Running,Cardio,High-Energy
.../OTxEuw.png,Style-Guide,Outfit-Inspo,Transitions
.../zswSHL.png,Ergonomics,Orthopedic,Support
.../uybXcP.png,Home-Office,WFH-Style,Comfort
.../teqQXe.png,Before-After,Transformation,Visual-Hook
.../lZCH3E.png,Social-Format,Vertical-Video,Text-Safe-Zones
.../Yjgwuj.png,Summer-Vibes,Lightweight,Breathable
.../PChv5G.png,Travel,Airport-Style,On-the-go
.../MgRyzp.png,Traction,Grip,Sole-Detail
.../tLaxor.png,Voiceover-Script,Narrative,Storytelling
.../iJ2M1L.png,Comparison,Side-by-side,Benefits
.../kyeUoJ.png,Laundry-Day,Washable,Easy-Care
.../dPxBit.png,Night-Walk,Reflective,Safety
.../REkIrS.png,Family,Everyday-Life,Relatable
.../JWutiG.png,Spring-Collection,Floral,Pastels
.../lgEAzY.png,Winter-Gear,Insulated,Cold-Weather
.../uwHB48.png,Call-to-Action,Limited-Time,Promo
.../v6292b.png,Testimonial,Social-Proof,Trust
.../po3jk5.png,Fast-Cuts,Trendy,TikTok-Style
.../vnbzoG.png,BTS,Authentic,Raw
.../gGLdmh.png,Aesthetic,Minimalist,Clean-Look
.../Bot5lP.png,Professional,Smart-Casual,Office
.../bXGtVz.png,Hiking,Trail,Durability
.../U2zxTn.png,Final-Shot,Logo-Animation,End-Card
